#contig-id	start-pos	end-pos	start-index	end-index	region-pat	PM-cluster	pollen-id_x
# note: the first region will be left-extended to coordinate 1 on contig 
#       the last region will be right-extended to coordinate contig-size 
tig00003688_pilonsB	2131589	2579524	1	405	M	0_m	9_x
tig00003688_pilonsB	2579895	2579895	406	406	P	0_m	9_x
tig00003688_pilonsB	2580158	3050594	407	2423	M	0_m	9_x
tig00003688_pilonsB	3050817	3050817	2424	2424	P	0_m	9_x
tig00003688_pilonsB	3051188	3214000	2425	3235	M	0_m	9_x
tig00003688_pilonsB	2131589	2155770	1	39	M	0_m	11_x
tig00003688_pilonsB	2156479	2159647	40	51	P	0_m	11_x
tig00003688_pilonsB	2162309	3214000	52	3235	M	0_m	11_x
tig00003688_pilonsB	2131589	2171261	1	60	M	0_m	14_x
tig00003688_pilonsB	2171339	2174874	61	73	P	0_m	14_x
tig00003688_pilonsB	2175080	3214000	74	3235	M	0_m	14_x
tig00003688_pilonsB	2131589	3214000	1	3235	M	0_m	19_x
tig00003688_pilonsB	2131589	3037041	1	2357	M	0_m	20_x
tig00003688_pilonsB	3037342	3037342	2358	2358	P	0_m	20_x
tig00003688_pilonsB	3039219	3214000	2359	3235	M	0_m	20_x
tig00003688_pilonsB	2131589	3214000	1	3235	M	0_m	21_x
tig00003688_pilonsB	2131589	2734893	1	1040	M	0_m	22_x
tig00003688_pilonsB	2734955	2734955	1041	1041	P	0_m	22_x
tig00003688_pilonsB	2734978	2886245	1042	1852	M	0_m	22_x
tig00003688_pilonsB	2886265	2892778	1853	1869	P	0_m	22_x
tig00003688_pilonsB	2892891	3214000	1870	3235	M	0_m	22_x
tig00003688_pilonsB	2131589	3214000	1	3235	M	0_m	23_x
tig00003688_pilonsB	2131589	3214000	1	3235	M	0_m	40_x
tig00003688_pilonsB	2131589	3214000	1	3235	M	0_m	41_x
tig00003688_pilonsB	2131589	3214000	1	3235	M	0_m	42_x
tig00003688_pilonsB	2131589	3214000	1	3235	M	0_m	43_x
tig00003688_pilonsB	2131589	3214000	1	3235	M	0_m	46_x
tig00003688_pilonsB	2131589	3214000	1	3235	M	0_m	47_x
tig00003688_pilonsB	2131589	2872083	1	1736	M	0_m	48_x
tig00003688_pilonsB	2872136	2872148	1737	1738	P	0_m	48_x
tig00003688_pilonsB	2872151	2872151	1739	1739	M	0_m	48_x
tig00003688_pilonsB	2872177	2872212	1740	1741	P	0_m	48_x
tig00003688_pilonsB	2872316	3119228	1742	2829	M	0_m	48_x
tig00003688_pilonsB	3119238	3119238	2830	2830	P	0_m	48_x
tig00003688_pilonsB	3119247	3119247	2831	2831	M	0_m	48_x
tig00003688_pilonsB	3119273	3119273	2832	2832	P	0_m	48_x
tig00003688_pilonsB	3119276	3162976	2833	3070	M	0_m	48_x
tig00003688_pilonsB	3163116	3163135	3071	3072	P	0_m	48_x
tig00003688_pilonsB	3163158	3214000	3073	3235	M	0_m	48_x
