#contig-id	start-pos	end-pos	start-index	end-index	region-pat	PM-cluster	pollen-id_x
# note: the first region will be left-extended to coordinate 1 on contig 
#       the last region will be right-extended to coordinate contig-size 
tig00003826_pilonsB	1	816894	1	1898	M	0_m	1_x
tig00003826_pilonsB	1	816894	1	1898	M	0_m	2_x
tig00003826_pilonsB	1	816894	1	1898	M	0_m	3_x
tig00003826_pilonsB	1	747405	1	1731	M	0_m	4_x
tig00003826_pilonsB	747682	747689	1732	1733	P	0_m	4_x
tig00003826_pilonsB	747807	773812	1734	1871	M	0_m	4_x
tig00003826_pilonsB	773955	780433	1872	1894	P	0_m	4_x
tig00003826_pilonsB	784494	816894	1895	1898	M	0_m	4_x
tig00003826_pilonsB	1	816894	1	1898	M	0_m	5_x
tig00003826_pilonsB	1	816894	1	1898	M	0_m	6_x
tig00003826_pilonsB	1	694200	1	1128	M	0_m	7_x
tig00003826_pilonsB	694215	696928	1129	1185	P	0_m	7_x
tig00003826_pilonsB	697244	732730	1186	1644	M	0_m	7_x
tig00003826_pilonsB	733091	748587	1645	1742	P	0_m	7_x
tig00003826_pilonsB	748972	816894	1743	1898	M	0_m	7_x
tig00003826_pilonsB	1	618949	1	669	M	0_m	9_x
tig00003826_pilonsB	619258	619258	670	670	P	0_m	9_x
tig00003826_pilonsB	619261	816894	671	1898	M	0_m	9_x
tig00003826_pilonsB	1	816894	1	1898	M	0_m	10_x
tig00003826_pilonsB	1	816894	1	1898	M	0_m	11_x
tig00003826_pilonsB	1	773231	1	1865	M	0_m	12_x
tig00003826_pilonsB	773469	773469	1866	1866	P	0_m	12_x
tig00003826_pilonsB	773641	816894	1867	1898	M	0_m	12_x
tig00003826_pilonsB	1	816894	1	1898	M	0_m	13_x
tig00003826_pilonsB	1	486818	1	360	M	0_m	14_x
tig00003826_pilonsB	486819	486940	361	362	P	0_m	14_x
tig00003826_pilonsB	486945	486945	363	363	M	0_m	14_x
tig00003826_pilonsB	487038	492768	364	384	P	0_m	14_x
tig00003826_pilonsB	494097	816894	385	1898	M	0_m	14_x
tig00003826_pilonsB	1	816894	1	1898	M	0_m	19_x
tig00003826_pilonsB	1	816894	1	1898	M	0_m	20_x
tig00003826_pilonsB	1	816894	1	1898	M	0_m	21_x
tig00003826_pilonsB	1	816894	1	1898	M	0_m	28_x
tig00003826_pilonsB	1	816894	1	1898	M	0_m	29_x
tig00003826_pilonsB	1	816894	1	1898	M	0_m	30_x
tig00003826_pilonsB	1	484316	1	355	M	0_m	34_x
tig00003826_pilonsB	486601	491408	356	379	P	0_m	34_x
tig00003826_pilonsB	491821	816894	380	1898	M	0_m	34_x
